	(1)	(2)	(3)	(4)
VARIABLES	Model A	Model A Dummy	Model B	Model B Dummy
				
2.years_owning		2.033		2.050
		(0.592)		(0.593)
4.years_owning		1.029		1.054
		(0.584)		(0.586)
6.years_owning		1.639		1.632
		(0.707)		(0.711)
8.years_owning		2.628		2.641
		(0.671)		(0.673)
10.years_owning		3.056		3.069
		(0.677)		(0.679)
12.years_owning		1.720		1.741
		(0.595)		(0.596)
14.years_owning		2.919		2.888
		(0.543)		(0.545)
16.years_owning		2.493		2.475
		(0.540)		(0.541)
log_average_income	1.966	1.997	2.006	2.033
	(0.273)	(0.273)	(0.276)	(0.276)
log_init_wealth	0.205	0.202		
	(0.0343)	(0.0343)		
total_gifts	1.19e-05	1.24e-05	1.16e-05	1.20e-05
	(5.32e-06)	(5.34e-06)	(5.36e-06)	(5.38e-06)
1.black	-0.742	-0.726	-0.717	-0.707
	(0.342)	(0.342)	(0.344)	(0.344)
1.init_HS	0.210	0.191	0.179	0.160
	(0.372)	(0.371)	(0.374)	(0.373)
1.init_some_college	-0.492	-0.466	-0.520	-0.497
	(0.411)	(0.411)	(0.413)	(0.414)
1.init_college_plus	-0.170	-0.184	-0.225	-0.244
	(0.446)	(0.445)	(0.455)	(0.454)
educ_improvement	-0.155	-0.166	-0.156	-0.167
	(0.0935)	(0.0939)	(0.0941)	(0.0945)
init_age	0.00474	0.00600	0.00507	0.00615
	(0.0126)	(0.0126)	(0.0128)	(0.0128)
1.married_2015	-0.565	-0.615	-0.589	-0.638
	(0.407)	(0.408)	(0.408)	(0.409)
1.divorced_2015	0.122	-0.0181	0.103	-0.0374
	(0.374)	(0.377)	(0.375)	(0.378)
2.region	0.350	0.368	0.362	0.381
	(0.477)	(0.476)	(0.478)	(0.478)
3.region	0.599	0.678	0.598	0.678
	(0.446)	(0.447)	(0.448)	(0.449)
4.region	0.490	0.623	0.517	0.648
	(0.488)	(0.490)	(0.489)	(0.491)
6.region	0.739	0.990	0.935	1.174
	(2.174)	(2.174)	(2.177)	(2.177)
1.metro_2015	-0.704	-0.667	-0.727	-0.687
	(0.430)	(0.431)	(0.431)	(0.432)
2o.metro_2015	-	-	-	-
				
change_kids	0.0780	0.0708	0.0776	0.0696
	(0.0950)	(0.0953)	(0.0952)	(0.0956)
years_owning	0.412		0.416	
	(0.0971)		(0.0974)	
years_owning2	-0.0164		-0.0168	
	(0.00637)		(0.00641)	
2.init_wealth_quant			1.219	1.165
			(0.424)	(0.424)
3.init_wealth_quant			1.555	1.535
			(0.364)	(0.364)
4.init_wealth_quant			2.206	2.176
			(0.401)	(0.402)
Constant	-13.99	-14.46	-14.34	-14.76
	(2.699)	(2.696)	(2.756)	(2.753)
				
Observations	726	726	726	726
R-squared	0.402	0.411	0.402	0.411
Standard errors in parentheses				
